x,y,z,t
0.00000,0.00000,0.00000,0.00334
1.05183,3.04878,0.19817,0.10706
-1.36179,5.87398,0.77236,0.21069
0.41921,5.35823,1.01372,0.31432
-0.70122,5.17683,1.03049,0.41794
-0.58536,5.09756,0.90853,0.52161
-1.09146,4.17073,0.64024,0.62528
-0.12195,1.79268,0.14024,0.72890
-2.73780,-0.79268,0.56707,0.83252
-2.04268,26.90854,1.06097,0.93612
-1.55488,10.78659,-1.46951,1.03973
-0.17073,32.18903,-9.20122,1.14337
-9.53659,38.33537,-6.15244,1.24698
-7.01220,37.73171,-1.65244,1.35063
0.68293,7.95732,-0.31708,1.45426
8.37195,4.14634,13.13414,1.55787
11.01829,-37.73171,16.12195,1.66149
7.09756,-89.38415,13.74390,1.76512
-19.73171,-105.49390,6.98780,1.86874
-36.75000,-100.69512,16.38415,1.97239
-37.75610,-83.26219,2.98781,2.07606
-40.99390,-64.05488,5.64634,2.17969
-46.57317,2.51219,23.48781,2.28331
-26.25000,32.17683,30.07317,2.38692
-27.06707,28.76219,21.29268,2.49062
-18.72561,30.36585,15.42073,2.59426
-38.01829,38.45122,6.86585,2.69788
-58.98781,45.19512,-13.17073,2.80151
-51.46951,41.80488,-7.25000,2.90510
-14.78049,42.82317,20.89024,3.00869
9.93293,17.52439,49.53049,3.11231
43.81707,-43.74390,81.78659,3.21592
63.18293,-99.41463,75.47561,3.31951
-5.28658,-114.62805,73.29268,3.42315
-81.83537,-78.47561,55.15244,3.52680
-124.19512,-1.12805,63.79268,3.63047
-119.12195,69.16463,82.82317,3.73420
-72.64634,66.57317,123.12195,3.83779
25.10366,14.90854,121.19512,3.94139
74.45122,-65.91464,111.37195,4.04498
34.11585,-138.92683,80.03049,4.14859
-52.30488,-154.81707,49.18902,4.25218
-124.74390,-69.04878,42.07927,4.35577
-160.89024,23.35366,83.42073,4.45936
-126.54878,72.04268,105.14024,4.56294
-57.75610,85.59146,141.09146,4.66657
43.37805,10.37805,135.02439,4.77018
90.44512,-97.26829,122.32927,4.87377
66.27439,-184.65244,78.08537,4.97738
-16.82317,-221.65244,50.63415,5.08125
-95.31097,-189.46951,33.31097,5.18514
-151.85366,-48.53049,58.64634,5.28901
-134.13415,53.14024,82.05488,5.39291
-63.32927,117.79878,126.59756,5.49675
22.10976,131.15854,169.51219,5.60060
111.30488,65.19512,182.78659,5.70449
149.10976,-26.50000,160.56098,5.80835
124.53049,-108.09756,145.67683,5.91222
50.47561,-161.20732,114.24390,6.01608
-50.26829,-158.53049,94.62805,6.12000
-163.35976,-85.42073,82.50000,6.22387
-238.76829,-13.75610,119.11585,6.32774
-241.27439,69.29268,127.21951,6.43159
-191.01220,102.96341,149.43293,6.53556
-102.59756,119.75000,174.34756,6.63956
0.15244,53.78658,190.69512,6.74353
74.12805,-40.21951,179.41463,6.84752
91.52439,-112.71951,166.19512,6.95140
65.92073,-144.75610,142.10366,7.05532
20.75610,-199.36585,96.24390,7.15922
-54.15244,-186.59756,56.92683,7.26311
-168.65244,-124.87195,65.10366,7.36705
-215.43293,-52.28659,59.09756,7.47095
-220.73171,35.35976,77.48780,7.57490
-180.92073,125.32927,121.84146,7.67916
-90.64024,153.86585,164.76829,7.78311
25.42073,117.18903,171.99390,7.88706
82.74390,39.76220,210.90244,7.99096
113.14634,-30.48171,200.03049,8.09492
93.88415,-98.10366,181.15854,8.19884
13.36585,-159.14634,155.63415,8.30279
-50.21342,-155.45122,100.42073,8.40675
-193.64634,-119.55488,95.68903,8.51071
-256.48171,-48.55488,90.07317,8.61475
-253.90854,23.70122,88.05488,8.71872
-206.42073,106.66463,119.50610,8.82268
-133.41463,125.09756,163.02439,8.92663
29.28049,100.56707,149.35976,9.03049
104.09147,13.62195,162.63415,9.13442
114.22561,-73.10976,164.94512,9.23833
86.81098,-141.93293,143.03659,9.34221
40.07317,-150.40244,109.06098,9.44610
-33.65854,-97.64025,86.92683,9.54998
-84.32927,18.40854,40.06707,9.65388
-124.12805,138.78049,19.83537,9.75775
-112.65244,228.12195,-6.59756,9.86169
-91.59146,232.84146,-8.26219,9.96564
-50.12805,89.21951,-19.85366,10.06958
-30.87195,-59.20122,-4.65853,10.17371
-11.54878,-180.26829,-1.03658,10.27759
-4.14634,-232.31707,9.01829,10.38147
-7.03049,-177.71951,19.42683,10.48537
-11.27439,5.11585,30.09146,10.58926
-2.79878,174.06098,49.98781,10.69316
18.34756,255.76829,47.65854,10.79703
37.55488,216.39024,44.44512,10.90092
57.78659,55.51219,24.18902,11.00480
57.59146,-96.15244,29.87805,11.10868
64.01829,-219.81098,2.39024,11.21256
43.44512,-244.05488,-0.53049,11.31644
-12.57317,-139.32927,10.54268,11.42034
-50.23171,49.19512,20.48171,11.52422
-63.50000,162.15854,16.20122,11.62810
-76.26220,212.40854,28.04878,11.73202
-60.21951,165.81707,21.48781,11.83601
4.63415,21.18902,-10.39634,11.93993
57.72561,-111.88415,-26.03658,12.04384
86.27439,-171.34756,-41.60366,12.14775
74.26220,-183.79268,-42.03049,12.25166
30.86585,-89.10976,-26.64634,12.35554
-59.48171,87.71951,23.06707,12.45946
-107.18293,195.60366,47.62805,12.56339
-132.09146,229.34146,62.06707,12.66742
-96.73171,159.67683,39.28659,12.77131
-43.83537,9.08537,19.30488,12.87518
25.73171,-122.16463,-16.98781,12.97905
54.57317,-198.93902,-35.88415,13.08298
65.04268,-201.39024,-48.45732,13.18696
19.24390,-85.78049,-25.50000,13.29098
3.50000,40.51829,-39.83537,13.39507
-0.38415,100.40854,-49.81097,13.49896
-34.53049,161.06097,-27.79878,13.60285
-10.75000,92.50610,-35.29268,13.70679
22.98171,-39.62195,-44.37805,13.81078
18.83537,-123.68293,-31.46341,13.91473
-22.54878,-168.21342,-15.41463,14.01868
-46.77439,-202.20122,-10.04268,14.12261
-91.50000,-96.06098,21.72561,14.22650
-84.18293,8.62805,39.65244,14.33045
-71.79268,91.28049,76.13415,14.43438
-4.38415,117.14634,107.62805,14.53833
77.92073,88.08537,124.69512,14.64220
146.87195,-19.54268,127.03049,14.74612
134.72561,-105.79878,141.37805,14.85000
115.24390,-173.74390,117.78658,14.95391
58.62195,-210.87195,89.68293,15.05782
-48.37805,-201.07927,94.50000,15.16171
-155.26219,-98.84756,125.15854,15.26560
-183.03049,10.80488,136.22561,15.36948
-153.67073,62.67073,159.06707,15.47336
-94.71342,105.43293,192.55488,15.57726
21.65854,124.39024,171.61585,15.68116
106.94512,61.39024,145.45732,15.78510
164.59146,-43.40244,114.00000,15.88899
129.80488,-121.56098,109.59146,15.99292
87.16463,-151.63415,82.42683,16.09681
-11.64634,-164.72561,72.31707,16.20070
-114.31098,-112.96341,70.48171,16.30466
-195.48780,-8.84756,102.62805,16.40863
-182.93902,97.85366,115.28659,16.51259
-155.01219,135.48171,141.38415,16.61659
-40.64634,151.92683,152.02439,16.72050
62.87195,96.95122,170.25610,16.82448
174.71951,-12.28049,128.73171,16.92838
181.54878,-105.03659,113.87195,17.03227
148.17683,-146.51829,89.54878,17.13614
42.37195,-180.78049,81.97561,17.24004
-42.35366,-164.88414,51.21341,17.34399
-166.51829,-93.93902,64.85975,17.44788
-198.53658,-5.82927,54.31707,17.55178
-177.37195,60.27439,44.84756,17.65567
