x,y,z,t
0.00000,0.00000,0.00000,0.00334
2.10366,6.09756,0.39634,0.10706
-6.18902,11.52439,1.92073,0.21069
5.76220,3.81098,1.73780,0.31432
-5.18293,4.45122,1.09756,0.41794
0.57927,-0.39634,-0.60976,0.52161
-0.42683,1.46341,-0.94512,0.62528
-1.34146,-0.36585,-0.57927,0.72890
-7.31707,-9.11585,3.87195,0.83252
-1.70732,142.95732,3.56707,0.93612
3.01829,-81.00610,-13.26220,1.03973
6.49390,108.47561,-39.60366,1.14337
-48.17073,30.36585,14.66463,1.24698
5.30488,-12.13415,26.37195,1.35063
36.76829,-5.91463,10.24390,1.45426
41.46341,-100.06098,53.99390,1.55787
19.72561,-100.91463,-24.66463,1.66149
-67.77439,-227.89634,2.77439,1.76512
-128.84146,-92.68293,-7.40854,1.86874
-48.32317,18.07927,57.22561,1.97239
36.43293,-12.89634,-12.98780,2.07606
3.53659,-4.87805,-11.37195,2.17969
-95.67073,104.93902,91.98171,2.28331
-27.22561,55.64024,25.51829,2.38692
-52.40854,1.00610,13.32317,2.49062
78.14024,-4.87805,-42.34756,2.59426
-92.92683,35.54878,-54.14634,2.69788
-200.51829,138.65854,-8.20122,2.80151
10.36585,38.68902,55.12195,2.90510
131.03659,6.09756,154.02439,3.00869
201.70732,-131.37195,100.85366,3.11231
76.49390,-270.79268,107.13415,3.21592
-103.68902,-139.69512,-39.75610,3.31951
-331.98171,-37.37805,44.20732,3.42315
-251.70732,186.85976,63.32317,3.52680
-10.09146,255.36585,144.05488,3.63047
101.85976,80.67073,202.28659,3.73420
128.68902,-152.65244,161.73780,3.83779
156.76829,-295.70122,34.57317,3.94139
-4.96951,-217.25610,14.20732,4.04498
-211.76829,-109.69512,-12.65244,4.14859
-330.24390,1.21951,48.07927,4.25218
-233.50610,276.18902,126.18902,4.35577
-23.96341,166.31098,241.28049,4.45936
166.73780,26.18902,122.80488,4.56294
132.19512,-41.95122,167.10366,4.66657
175.42683,-374.84756,17.74390,4.77018
1.82927,-262.04268,62.71341,4.87377
-144.81707,-270.60976,20.06098,4.97738
-248.75000,-158.81098,-14.45122,5.08125
-260.24390,118.96341,80.48780,5.18514
-107.28659,329.84756,144.42073,5.28901
90.42683,246.31098,179.75610,5.39291
209.20732,52.68293,242.77439,5.49675
178.44512,-92.01220,200.12195,5.60060
185.73171,-210.85366,146.85976,5.70449
81.73780,-128.62805,33.29268,5.80835
-32.46951,-161.67683,105.33537,5.91222
-161.06707,-212.86585,85.60976,6.01608
-325.27439,-78.62805,102.04268,6.12000
-379.72561,154.69512,86.21951,6.22387
-295.30488,229.69512,216.37195,6.32774
-45.00000,253.56707,145.85366,6.43159
90.24390,-44.51220,196.67683,6.53556
116.79878,5.30488,226.61585,6.63956
134.02439,-175.12195,167.95732,6.74353
74.57317,-240.33537,159.96951,6.84752
41.98171,-108.93293,79.75610,6.95140
-37.77439,-204.69512,76.21951,7.05532
-109.02439,-267.74390,-2.68293,7.15922
-240.51829,-111.28049,-28.62805,7.26311
-497.92683,68.29268,200.85366,7.36705
-191.92073,253.99390,49.72561,7.47095
-64.26829,233.53659,168.17073,7.57490
90.03049,182.10366,219.08537,7.67916
210.88415,31.40244,186.00610,7.78311
82.37805,-115.09146,236.98171,7.88706
94.69512,-133.14024,244.26829,7.99096
87.74390,-117.68293,113.81098,8.09492
-6.28049,-156.00610,124.72561,8.19884
-191.70732,-273.81098,58.38415,8.30279
-235.51829,-96.61585,-39.08537,8.40675
-622.46951,46.34146,220.60976,8.51071
-226.43293,237.31707,85.73171,8.61475
6.58537,205.27439,114.63415,8.71872
45.73171,141.00610,215.64024,8.82268
129.51220,-4.45122,178.50610,8.92663
191.00610,-76.31098,152.28659,9.03049
147.62195,-197.40854,152.10366,9.13442
57.25610,-228.38415,126.18902,9.23833
-91.34146,-203.10976,106.09756,9.34221
-104.17683,-46.79878,8.62805,9.44610
-177.65244,187.50000,41.61585,9.54998
-105.73171,382.83537,-82.19512,9.65388
-141.73780,373.47561,25.03049,9.75775
-33.96341,243.59756,-26.06707,9.86169
1.12805,-23.20122,0.30488,9.96564
29.66463,-530.60976,-16.34146,10.06958
-9.45122,-359.26829,-6.21951,10.17371
-45.12195,-231.85976,43.14024,10.27759
3.04878,-16.64634,24.20732,10.38147
-13.29268,249.78659,52.34756,10.48537
8.44512,383.56707,36.98171,10.58926
32.92683,485.45732,93.26220,10.69316
60.60976,176.67683,31.49390,10.79703
99.08537,-213.53659,8.14024,10.90092
87.86585,-554.60366,-48.93293,11.00480
7.46951,-374.75610,65.42683,11.10868
65.06098,-132.83537,-44.17683,11.21256
-42.25610,55.45732,16.89024,11.31644
-181.00610,310.09146,63.50610,11.42034
-100.42683,388.01829,0.76220,11.52422
-58.87195,190.06098,44.02439,11.62810
1.25000,118.41463,15.06098,11.73202
37.95732,-177.50000,-15.91463,11.83601
143.26220,-413.04878,-95.91463,11.93993
165.03049,-277.34756,-77.43902,12.04384
83.87195,-107.25610,-33.81098,12.14775
-58.81098,56.18902,12.92683,12.25166
-179.02439,295.91463,61.00610,12.35554
-308.47561,471.09756,152.65244,12.45946
-73.47561,262.07317,45.36585,12.56339
-40.67073,61.43293,38.38415,12.66742
117.98780,-292.13415,-100.97561,12.77131
85.45732,-457.04268,-38.90244,12.87518
39.35976,-185.15244,-28.81098,12.97905
70.73171,-121.79878,-49.11585,13.08298
11.67683,49.17683,-24.48171,13.18696
-111.00610,285.91463,13.81098,13.29098
6.73780,174.45122,-110.57927,13.39507
19.93902,114.29878,-78.68902,13.49896
-100.00000,181.46341,60.94512,13.60285
130.57927,-293.59756,-61.95122,13.70679
57.65244,-374.72561,-31.61585,13.81078
-13.99390,-245.85366,-46.00610,13.91473
-186.98171,-108.35366,1.55488,14.01868
-221.12805,11.52439,87.80488,14.12261
-93.04878,237.10366,96.89024,14.22650
94.23780,148.71951,58.01829,14.33045
47.95732,167.40854,136.40244,14.43438
150.06098,20.97561,159.02439,14.53833
190.39634,-133.78049,173.14024,14.64220
251.70732,-301.03659,108.56707,14.74612
33.50610,-282.56098,129.75610,14.85000
-49.45122,-172.31707,18.44512,14.95391
-133.04878,-164.66463,18.50610,15.05782
-344.60366,-84.81707,197.22561,15.16171
-282.71341,210.12195,261.85976,15.26560
-105.33537,265.70122,185.09146,15.36948
97.34756,87.01220,132.65244,15.47336
161.73780,49.14634,185.94512,15.57726
237.25610,9.96951,92.53049,15.68116
143.71951,-104.87805,131.06707,15.78510
182.89634,-258.26220,27.80488,15.88899
-76.58537,-303.78049,110.60976,15.99292
-51.46341,-101.21951,50.12195,16.09681
-256.79878,-55.48780,41.98171,16.20070
-369.60366,153.93293,121.89024,16.30466
-222.98780,262.31707,188.53659,16.40863
-13.84146,229.72561,173.90244,16.51259
88.17073,86.92073,180.60976,16.61659
315.03049,26.73780,95.18293,16.72050
147.98780,-120.94512,213.04878,16.82448
336.25000,-283.84146,-19.08537,16.92838
20.30488,-234.05488,99.60366,17.03227
-78.68902,-120.48780,58.99390,17.13614
-213.99390,-144.57317,57.31707,17.24004
-275.64024,-41.46341,59.23780,17.34399
-284.57317,70.88415,49.14634,17.44788
-139.78659,206.49390,46.89024,17.55178
27.13415,210.03049,11.64634,17.65567
28.78049,138.50610,100.24390,17.75958
58.10976,159.54268,161.18902,17.86354
201.00610,14.29878,128.20122,17.96743
222.16463,-48.87195,177.77439,18.07131
147.04268,-171.28049,120.45732,18.17521
-4.54268,-163.01829,76.67683,18.27914
-77.46951,-304.14634,179.23780,18.38307
-110.64024,-104.63415,16.85976,18.48696
-608.01829,-143.01829,226.73780,18.59090
-238.81098,140.30488,71.15854,18.69483
-332.74390,270.45732,278.53659,18.79881
