x,y,z,t
-2.37805,1.15854,0.21341,0.00326
-2.19512,0.35061,0.01524,0.10683
-2.05285,0.02033,-0.00000,0.21047
-2.01982,0.07622,0.02286,0.31407
-2.07317,0.37195,0.04268,0.41764
-2.07317,0.50000,0.06707,0.52121
-2.13415,0.90244,0.15854,0.62484
-2.24390,1.01220,0.10976,0.72846
-2.23171,0.83537,0.03659,0.83213
-2.12195,0.45122,-0.02439,0.93954
-2.01829,0.05488,-0.09146,1.04407
-1.97561,-0.03658,-0.09756,1.14771
-1.95732,0.32317,-0.00610,1.25131
-2.03049,0.94512,0.23171,1.35491
-2.12195,1.29878,0.32927,1.45851
-2.14634,1.45122,0.32317,1.56215
-2.09756,1.17683,0.23780,1.66576
-2.03659,0.77439,0.21951,1.76939
-2.00000,0.37805,0.04268,1.87299
-1.99390,0.31097,0.01219,1.97661
-2.04878,0.46341,0.05488,2.08025
-2.12805,0.78049,0.11585,2.18382
-2.17073,1.01219,0.10366,2.28740
-2.17683,1.04268,0.12195,2.39101
-3.00000,-0.03659,0.80488,2.49461
-2.45122,-1.09756,0.69512,2.59821
-2.62195,-1.81098,0.58537,2.70180
-2.39025,-1.70732,0.59756,2.80539
-2.55488,-1.49390,0.62195,2.90899
-1.70122,-0.36585,-0.04268,3.01259
-2.20122,0.60976,0.03658,3.11622
-2.00610,1.18293,0.14024,3.22402
-2.25000,1.04268,0.12805,3.44406
-2.06708,0.80488,0.04878,3.54767
-2.09147,0.64634,0.00610,3.65127
-2.10366,0.57927,0.00000,3.75623
-2.08537,0.63415,-0.00610,3.86022
-2.07317,0.68293,0.00610,3.96388
-2.09146,0.75610,0.03659,4.06753
-2.09756,0.79878,0.03049,4.17115
-2.09756,0.81098,0.04268,4.27478
-2.09756,0.78049,0.05488,4.37841
-2.07317,0.71342,0.04878,4.48204
-2.07927,0.67073,1.60366,4.58571
-2.05488,0.66463,1.59146,4.68935
-2.05488,0.67683,1.59756,4.79298
-2.06707,0.67683,1.60366,4.89692
-2.08537,0.69512,1.62195,5.00084
-2.09146,0.71951,0.09756,5.10478
-2.09146,0.71341,0.10366,5.20877
-2.10366,0.71951,0.09756,5.31276
