x,y,z,t
-2.37805,1.15854,0.21341,0.00326
-2.01220,-0.45732,-0.18293,0.10683
-1.76829,-0.64024,-0.03049,0.21047
-1.92073,0.24390,0.09146,0.31407
-2.28659,1.55488,0.12195,0.41764
-2.37805,1.79878,0.33537,0.52121
-2.31707,1.55488,0.27439,0.62484
-2.31707,-0.09146,-0.27439,0.72846
-1.85976,-0.64024,-0.27439,0.83213
-1.73780,-0.36585,-0.18293,0.93954
-1.85976,-0.18293,0.00000,1.04407
-2.10366,1.09756,0.24390,1.14771
-2.22561,1.70732,0.18293,1.25131
-2.22561,2.46951,0.91463,1.35491
-2.19512,1.40244,0.30488,1.45851
-1.98171,0.57927,-0.03049,1.56215
-1.85976,-0.27439,-0.18293,1.66576
-1.92073,-0.30488,0.09146,1.76939
-2.04268,0.48780,0.03049,1.87299
-2.16463,1.06707,0.15244,1.97661
-2.25610,1.34146,0.18293,2.08025
-2.25610,1.31098,0.12195,2.18382
-2.13415,0.85366,0.03049,2.28740
-2.07317,0.64024,0.12195,2.39101
-6.28049,-4.32927,3.56707,2.49461
0.48780,-3.96341,-0.36585,2.59821
-3.10976,-2.25610,-0.42683,2.70180
-0.97561,1.37195,0.09146,2.80539
-2.89634,1.70732,0.24390,2.90899
-2.01220,1.31098,0.24390,3.01259
-2.01220,0.91463,0.03049,3.11622
-2.13415,0.60976,0.09146,3.22402
-2.19512,0.67073,0.03049,3.44406
-1.98171,0.51829,-0.15244,3.54767
-2.13415,0.51829,0.03049,3.65127
-2.07317,0.57927,0.00000,3.75623
-2.04268,0.88415,0.06098,3.86022
-2.13415,0.91463,0.09146,3.96388
-2.07317,0.88415,0.00000,4.06753
-2.16463,0.73171,0.00000,4.17115
-2.07317,0.64024,0.06098,4.27478
-2.04268,0.73171,0.12195,4.37841
-2.01220,0.57927,0.06098,4.48204
-2.10366,0.67073,7.77439,4.58571
-2.04268,0.70122,-0.06098,4.68935
-2.07317,0.70122,0.09146,4.79298
-2.10366,0.73171,0.15244,4.89692
-2.10366,0.67073,0.15244,5.00084
-2.13415,0.79268,0.15244,5.10478
-2.04268,0.67073,-0.03049,5.20877
-2.13415,0.73171,0.06098,5.31276
-2.07317,0.76220,-0.06098,5.41718
-2.13415,0.70122,0.09146,5.52110
-2.07317,0.73171,0.03049,5.62509
-2.07317,0.70122,0.03049,5.72904
-2.16463,0.76220,0.00000,5.83297
-2.10366,0.76220,0.06098,5.93731
-2.04268,0.64024,0.12195,6.04124
-2.07317,0.73171,0.03049,6.14518
-2.04268,0.57927,0.06098,6.24910
-2.13415,0.76220,0.15244,6.35302
-2.07317,0.79268,0.09146,6.45695
-1.98171,0.67073,0.15244,6.56088
-2.01220,0.67073,0.03049,6.66476
-2.01220,0.67073,0.00000,6.76877
-2.19512,0.76220,0.00000,6.87289
-2.04268,0.76220,0.06098,6.97710
-2.07317,0.67073,-0.09146,7.08102
-2.10366,0.91463,0.12195,7.18495
-2.10366,0.73171,-0.03049,7.28887
-2.07317,0.54878,7.77439,7.39284
-2.04268,0.76220,0.09146,7.49677
-2.07317,0.54878,0.15244,7.60072
-2.01220,0.76220,0.03049,7.70465
